주차장명,주소,LAT,LON
오패산공영주차장(구),강북구 미아동 133-100,37.622054,127.03115
미아동공영주차장(구),강북구 미아동 222-100,37.62852,127.022331
송천동공영주차장(구),강북구 미아동 439-138,37.614536,127.025126
도봉로15길(시),강북구 미아동 458-7,37.616707,127.028196
송중동 공영주차장(구),강북구 미아동 48-1,37.611602,127.033569
대지시장길 공영주차장(구),강북구 미아동 703-8,37.620104,127.020227
삼양마을공원지하 공영주차장(구),강북구 미아동 748-2,37.622894,127.018223
냉천길 공영주차장(구),강북구 미아동 756-1,37.623935,127.019536
송중동(임시)공영주차장(구),강북구 미아동 860-123,37.611008,127.033512
번동 햇살 주차장(구),강북구 번동 148-380,37.625019,127.033142
인수동 공영주차장(구),강북구 수유동 126-0,37.636131,127.01852
시범 공영주차장(구),강북구 수유동 190-11,37.640013,127.025942
가오리 공영주차장(구),강북구 수유동 349-3,37.641526,127.014951
색동공원 공영주차장(구),강북구 수유동 49-7,37.633199,127.020581
수유마을시장 공영주차장(구),강북구 수유동 55-53,37.638733,127.00891
수유일공원공영주차장(구),강북구 수유동 605-407,37.630619,127.017431
수유동쌈지마당공영주차장(구),강북구 수유동 612-6,37.632063,127.023556
수유2동 공영주차장(구),강북구 수유동 660-30,37.645985,127.021877
교통광장 공영주차장(구),강북구 우이동 265-0,37.66197,127.007884
